bartime,direction,legHigh,legLow,legRange,fib050,fib0618,zoneUpper,zoneLower,invalidLevel
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
2025.10.06 08:00,BULL,3945.06,3882.89,62.17000000000007,3913.975,3906.63894,3913.975,3906.63894,3896.19438
